Shirt Name,Shirt Price,Original Shirt Price,Promotion,Link,Weave
Blue Hairline Stripes,$59.99,$59.99,False,http://custom.luxire.com/collections/dress-shirts/products/blue-hairline-stripes,Unknown
Indigo Chambray:Light and Airy,$99.99,$99.99,False,http://custom.luxire.com/collections/dress-shirts/products/indigo-chambray-light-airy,chambray
Ecru Twill Chino                      (Sold Out),$89.99,$89.99,False,http://custom.luxire.com/collections/dress-shirts/products/ecru-summer-chino,twill
Blue Chambray Linen                      (Sold Out),$129.99,$129.99,False,http://custom.luxire.com/collections/dress-shirts/products/blue-chambray-linen,linen
Pale Blue End-on-End 100/2                      (Sold Out),$79.99,$79.99,False,http://custom.luxire.com/collections/dress-shirts/products/pale-blue-end-on-end,end-on-end
Easy-to-Iron Blue Graph Checks,$69.99,$69.99,False,http://custom.luxire.com/collections/dress-shirts/products/blue-graph-checks-eta,Unknown
Grey Chambray Summer,$89.99,$89.99,False,http://custom.luxire.com/collections/dress-shirts/products/grey-chambray-summer,chambray
Moss Green Royal Oxford                      (Sold Out),$69.99,$69.99,False,http://custom.luxire.com/collections/dress-shirts/products/moss-green-royal-oxford,oxford
Pale Blue Poplin 140/2                      (Sold Out),$89.99,$89.99,False,http://custom.luxire.com/collections/dress-shirts/products/pale-blue-poplin-140-2,poplin
Green Blue Stripes Oxford,$59.99,$59.99,False,http://custom.luxire.com/collections/dress-shirts/products/green-blue-stripes-oxford,oxford
Pale Blue Classic Oxford,$89.99,$89.99,False,http://custom.luxire.com/collections/dress-shirts/products/pale_blue_oxford,oxford
Vista Blue Dress Stripes,$79.99,$79.99,False,http://custom.luxire.com/collections/dress-shirts/products/blue_dress_stripes_gtz49536,Unknown
Pale Blue Poplin Summer,$69.99,$69.99,False,http://custom.luxire.com/collections/dress-shirts/products/pale-blue-poplin-90s,poplin
Light Green White Stripes by Monti,$59.99,$59.99,False,http://custom.luxire.com/collections/dress-shirts/products/light-green-white-stripes-by-monti,Unknown
Black with Magenta Hairline Stripes,$59.99,$59.99,False,http://custom.luxire.com/collections/dress-shirts/products/black-with-megenta-hairline-stripes,Unknown
Sky Blue Cool Linen Cotton,$89.99,$89.99,False,http://custom.luxire.com/collections/dress-shirts/products/sky-blue-cool-linen-cotton,linen
Pale Blue Classic Oxford,$79.99,$79.99,False,http://custom.luxire.com/collections/dress-shirts/products/pale-blue-classic-oxford,oxford
Grandi & Rubinelli Powder Blue Oxford,$149.99,$149.99,False,http://custom.luxire.com/collections/dress-shirts/products/grandi_aurora_07934_09190_powder_blue_oxford,oxford
Blue Graph Checks                      (Sold Out),$69.99,$69.99,False,http://custom.luxire.com/collections/dress-shirts/products/blue_graph_checks,Unknown
White Fresco Chambray                      (Sold Out),$69.99,$69.99,False,http://custom.luxire.com/collections/dress-shirts/products/white-fresco-chambray,chambray
Green Small Gingham                      (Sold Out),$69.99,$69.99,False,http://custom.luxire.com/collections/dress-shirts/products/gree-small-gingham,Unknown
Pale Blue Stripes Ice,$79.99,$79.99,False,http://custom.luxire.com/collections/dress-shirts/products/pale-blue-stripes-ice,Unknown
Business Shirt-Blue Pencil Stripes,$69.99,$69.99,False,http://custom.luxire.com/collections/dress-shirts/products/business_shirt_blue_pencil_stripes,Unknown
Classic Red Oxford,$79.99,$79.99,False,http://custom.luxire.com/collections/dress-shirts/products/classic-red-oxford,oxford
Blue Pencil Stripes                      (Sold Out),$69.99,$69.99,False,http://custom.luxire.com/collections/dress-shirts/products/blue-pencil-stripes,Unknown
Classic Blue Herringbone,$69.99,$69.99,False,http://custom.luxire.com/collections/dress-shirts/products/classic-blue-herringbone-80-2,herringbone
Lavender White Stripes by Monti,$79.99,$79.99,False,http://custom.luxire.com/collections/dress-shirts/products/lavender-white-stripes-by-monti,Unknown
Pale Blue Royal Oxford,$89.99,$89.99,False,http://custom.luxire.com/collections/dress-shirts/products/pale-blue-royal-oxford,oxford
Grandi & Rubinelli White Pinpoint Oxford,$149.99,$149.99,False,http://custom.luxire.com/collections/dress-shirts/products/grandi_aurora_bco_07934_09153_white_oxford,oxford
Blue HairLine Stripes                      (Sold Out),$79.99,$79.99,False,http://custom.luxire.com/collections/dress-shirts/products/blue_hairline_stripes,Unknown
Blue Micro Herrinbone                      (Sold Out),$69.99,$69.99,False,http://custom.luxire.com/collections/dress-shirts/products/sky-micro-herringbone,Unknown
Light Sky Tattersall Graph by Monti,$79.99,$79.99,False,http://custom.luxire.com/collections/dress-shirts/products/light-sky-graph-by-monti,Unknown
Indigo Heavy Sashiko Jacket,$399.99,$399.99,False,http://custom.luxire.com/collections/dress-shirts/products/indigo-heavy-sashiko-jacket,Unknown
Carolina Blue Royal Oxford,$69.99,$69.99,False,http://custom.luxire.com/collections/dress-shirts/products/carolina-blue-blue-royal-oxford,oxford
Grandi & Rubinelli White Poplin 140/2,$199.99,$199.99,False,http://custom.luxire.com/collections/dress-shirts/products/grandi_afrodite_b_06577_09051_white_poplin,poplin
Blue Shadow Stripes Oxford,$69.99,$69.99,False,http://custom.luxire.com/collections/dress-shirts/products/blue-shadow-stripes-oxford,oxford
Apricot Orange Pinpoint Oxford,$69.99,$69.99,False,http://custom.luxire.com/collections/dress-shirts/products/apricot-orange-royal-oxford,oxford
Sky Blue Poplin 120/2                      (Sold Out),$89.99,$120.00,True,http://custom.luxire.com/collections/dress-shirts/products/sky-blue-poplin,poplin
Black White Pencil Stripes,$69.99,$69.99,False,http://custom.luxire.com/collections/dress-shirts/products/black-white-pencil-stripe,Unknown
Soft Light Summer:Blue White Small Gingham Chambray                      (Sold Out),$79.99,$79.99,False,http://custom.luxire.com/collections/dress-shirts/products/soft_light_summer_blue_white_small_gingham_chambray,chambray
Linen:Blue Chambray,$129.99,$129.99,False,http://custom.luxire.com/collections/dress-shirts/products/linen-blue-chambray,chambray
Linen - Pink Navy Checks,$79.99,$79.99,False,http://custom.luxire.com/collections/dress-shirts/products/linen-pink-navy-checks,linen
Blue Twill 120/2                      (Sold Out),$79.99,$79.99,False,http://custom.luxire.com/collections/dress-shirts/products/blue-twill-120-2,twill
White Panama Weave                      (Sold Out),$99.99,$99.99,False,http://custom.luxire.com/collections/dress-shirts/products/diamond-textured-white,Unknown
Faint Blue Pinpoint Oxford,$99.99,$99.99,False,http://custom.luxire.com/collections/dress-shirts/products/faint-blue-pinpoint-oxford,oxford
Forest Green On White University Stripes,$79.99,$79.99,False,http://custom.luxire.com/collections/dress-shirts/products/forest-green-on-white-university-stripes,Unknown
Grandi & Rubinelli White Everyday Shirt 70/2,$149.99,$149.99,False,http://custom.luxire.com/collections/dress-shirts/products/grandi_amazing_b_08561_09101_white_even_weave,Unknown
Blue Gingham by Sic-Tess,$129.99,$129.99,False,http://custom.luxire.com/collections/dress-shirts/products/blue-gingham-by-sic-tess,Unknown
White Blue Candy Stripes Oxford,$79.99,$79.99,False,http://custom.luxire.com/collections/dress-shirts/products/white_blue_candy_stripes_oxford,oxford
Easy-to-Iron Navy Graph Checks,$69.99,$69.99,False,http://custom.luxire.com/collections/dress-shirts/products/navy-graph-checks-eta,Unknown
Mulberry Blue White Small Gingham,$89.99,$89.99,False,http://custom.luxire.com/collections/dress-shirts/products/mulberry-blue-white-gingham,Unknown
Light Blue Stripes on White,$99.99,$99.99,False,http://custom.luxire.com/collections/dress-shirts/products/light-blue-stripes-on-white,Unknown
Classic Blue Summer Oxford,$69.99,$69.99,False,http://custom.luxire.com/collections/dress-shirts/products/classic_blue_summer_oxford,oxford
Navy White Gingham Classic Oxford                      (Sold Out),$99.99,$99.99,False,http://custom.luxire.com/collections/dress-shirts/products/navy_white_gingham_classic_oxford,oxford
Soft Sky Blue Herringbone,$79.99,$79.99,False,http://custom.luxire.com/collections/dress-shirts/products/soft_sky_blue_herring_bone,herringbone
SummerLight  Maroon Blue Madras,$59.99,$59.99,False,http://custom.luxire.com/collections/dress-shirts/products/summer-maroon-blue-madras,
Blue Small Graph Checks 40s,$69.99,$69.99,False,http://custom.luxire.com/collections/dress-shirts/products/small-graph-checks-blue-40s,Unknown
UCLA Blue Pinpoint Oxford,$69.99,$69.99,False,http://custom.luxire.com/collections/dress-shirts/products/ucla-blue-royal-oxford,oxford
Sky Blue Twill,$79.99,$79.99,False,http://custom.luxire.com/collections/dress-shirts/products/sky-blue-twill,twill
Blue White Alternate Stripe                      (Sold Out),$59.99,$59.99,False,http://custom.luxire.com/collections/dress-shirts/products/blue-blue-white-stripes,Unknown
Navy Sky Tattersall Graph by Monti,$129.99,$129.99,False,http://custom.luxire.com/collections/dress-shirts/products/navy-sky-graph-by-monti,Unknown
Sky Blue Plain Light Poplin,$79.99,$79.99,False,http://custom.luxire.com/collections/dress-shirts/products/sky-blue-plain-poplin,poplin
Ensign Blue on White Oxford,$79.99,$79.99,False,http://custom.luxire.com/collections/dress-shirts/products/ensign-blue-on-white-classic-oxford,oxford
Zegna Brown Blue White Twill Tattersall                      (Sold Out),$119.99,$119.99,False,http://custom.luxire.com/collections/dress-shirts/products/zegna-brown-blue-white-twill-tattersall,twill
Blue White Dress Stripes                      (Sold Out),$59.99,$59.99,False,http://custom.luxire.com/collections/dress-shirts/products/blue_white_dress_stripes,Unknown
Summer Light Red Blue Madras Seersucker                      (Sold Out),$69.99,$69.99,False,http://custom.luxire.com/collections/dress-shirts/products/summer-red-blue-madras-seersucker,
Red Black Grey Tattersall                      (Sold Out),$59.99,$59.99,False,http://custom.luxire.com/collections/dress-shirts/products/red-black-grey-tattersall,Unknown
Navy Shadow Stripes Oxford,$69.99,$69.99,False,http://custom.luxire.com/collections/dress-shirts/products/navy-shadow-stripes-oxford,oxford
Navy Red White Tattersall Flannel,$59.99,$59.99,False,http://custom.luxire.com/collections/dress-shirts/products/navy-red-white-tattersall-flannel,Unknown
